grid_id,imp_percent,imp_score,flood_score,greenscore,greenview,treeestima,stormwater_managed,overall_score
647,88.11337544,0,0,0,0,0,0,0
648,90.80298707,0,3,4,15.36028646,306,232560,2
649,86.5751219,0,3,2,8.319548611,132,100320,2
650,,0,4,0,0,0,0,1
651,83.59658012,0,1,2,9.123070355,534,405840,1
652,18.97903961,5,1,5,49.60320313,140,106400,4
653,65.65759217,2,3,2,4.501902282,195,148200,2
654,87.42849058,0,3,2,8.998973765,234,177840,2
655,17.89141071,5,1,5,31.75598958,466,354160,4
656,63.9156499,3,3,3,12.20673295,534,405840,3
657,94.40510633,0,3,3,11.83179801,517,392920,2
658,93.97965668,0,3,3,12.25661095,488,370880,2
659,95.3429071,0,3,4,15.03494643,441,335160,2
660,,0,4,0,0,0,0,1
661,,0,4,0,0,0,0,1
662,64.99112566,3,3,4,15.0166438,490,372400,3
663,92.42828974,0,3,2,7.029239341,303,230280,2
664,94.63962683,0,3,3,10.78067014,290,220400,2
665,,0,4,0,0,0,0,1
666,87.39657283,0,0,3,10.46586905,319,242440,1
667,90.36566945,0,3,3,9.903148522,278,211280,2
668,85.79239122,0,3,4,16.43984954,339,257640,2
669,86.31806811,0,1,3,13.3553869,84,63840,1
670,72.21819288,2,3,2,5.519583333,6,4560,2
671,82.48205879,0,3,2,8.62892094,366,278160,2
672,,0,0,0,0,0,0,0
673,96.03613158,0,3,2,8.77815,413,313880,2
674,59.13386608,3,0,0,0,0,0,1
675,88.60684429,0,1,4,14.98201389,354,269040,2
676,92.27938796,0,3,4,17.77810957,763,579880,2
677,91.93584931,0,3,2,9.470134181,539,409640,2
678,5.057327341,5,1,0,0,0,0,2
679,93.48010054,0,3,2,9.178835784,312,237120,2
680,95.69868768,0,3,2,8.523380208,168,127680,2
681,90.25681081,0,3,4,14.64033144,802,609520,2
682,60.74600434,3,0,0,0,0,0,1
683,86.12838384,0,3,2,6.745135417,69,52440,2
684,62.02541015,3,3,5,18.50886416,1067,810920,4
685,91.90059018,0,3,4,16.23497396,392,297920,2
686,80.32063373,0,0,3,13.26358428,257,195320,1
687,90.75469899,0,3,5,19.29228009,545,414200,3
688,91.56188611,0,3,5,18.64954215,632,480320,3
689,92.7609489,0,3,4,16.63158088,704,535040,2
690,84.82722681,0,0,2,8.3656125,209,158840,1
691,92.11738452,0,0,5,20.90107329,901,684760,2
692,14.27490848,5,3,0,0,0,0,3
693,87.65600223,0,3,3,10.6972822,231,175560,2
694,87.73898089,0,3,3,12.91687767,441,335160,2
695,94.03317774,0,3,2,7.707821181,261,198360,2
696,59.24670359,3,3,5,23.91537791,742,563920,4
697,,0,4,0,0,0,0,1
698,78.6448656,2,0,5,19.21407782,506,384560,2
699,87.13921947,0,3,5,19.42303686,576,437760,3
700,94.96702309,0,3,3,12.41615885,438,332880,2
