FID,Join_Count,TARGET_FID,Id,Shape_Leng,Shape_Area,GeoID,FLD_AR_ID,FLD_ZONE,FLOODWAY,SFHA_TF,STATIC_BFE,V_DATUM,DEPTH,LEN_UNIT,VELOCITY,VEL_UNIT,AR_REVERT,BFE_REVERT,DEP_REVERT,SOURCE_CIT,flood_score
198,2,199,0,2721.46831,450465.1845,199,381,AE, ,T,13,NAVD88,-9999,FEET,-9999, , ,-9999,-9999,STUDY1,0
199,2,200,0,2721.46831,450465.1845,200,477,0.2 PCT ANNUAL CHANCE FLOOD HAZARD, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,1
200,4,201,0,2721.46831,450465.1845,201,394,AE, ,T,12,NAVD88,-9999,FEET,-9999, , ,-9999,-9999,STUDY1,0
201,3,202,0,2692.248504,448970.9176,202,412,VE, ,T,13,NAVD88,-9999,FEET,-9999, , ,-9999,-9999,STUDY1,5
202,1,203,0,2721.46831,450465.1845,203,726,X, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,3
203,2,204,0,1246.234123,63226.92787,204,326,X, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,3
204,1,205,0,2721.46831,450465.1845,205,726,X, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,3
205,2,206,0,2028.440799,174135.2959,206,449,0.2 PCT ANNUAL CHANCE FLOOD HAZARD, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,1
206,1,207,0,2721.46831,450465.1845,207,489,AE, ,T,11,NAVD88,-9999,FEET,-9999, , ,-9999,-9999,STUDY1,0
207,1,208,0,2721.46831,450465.1845,208,726,X, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,3
208,2,209,0,2721.46831,450465.1845,209,442,0.2 PCT ANNUAL CHANCE FLOOD HAZARD, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,1
209,2,210,0,2721.46831,450465.1845,210,423,0.2 PCT ANNUAL CHANCE FLOOD HAZARD, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,1
210,4,211,0,2721.46831,450465.1845,211,453,0.2 PCT ANNUAL CHANCE FLOOD HAZARD, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,1
211,2,212,0,1729.710793,166439.1244,212,364,X, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,3
212,1,213,0,2721.46831,450465.1845,213,726,X, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,3
213,2,214,0,2559.217325,384428.6116,214,449,0.2 PCT ANNUAL CHANCE FLOOD HAZARD, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,1
214,4,215,0,2721.46831,450465.1845,215,492,0.2 PCT ANNUAL CHANCE FLOOD HAZARD, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,1
215,1,216,0,2721.468967,450465.3712,216,698,AREA NOT INCLUDED, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,0
216,1,217,0,2721.46831,450465.1845,217,726,X, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,3
217,1,218,0,2721.46831,450465.1845,218,698,AREA NOT INCLUDED, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,0
218,1,219,0,158.0586141,1058.78292,219,649,OPEN WATER, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,4
219,3,220,0,2721.46831,450465.1845,220,330,0.2 PCT ANNUAL CHANCE FLOOD HAZARD, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,1
220,2,221,0,2257.463873,302402.7627,221,690,AE, ,T,10,NAVD88,-9999,FEET,-9999, , ,-9999,-9999,STUDY1,0
221,1,222,0,2721.46831,450465.1845,222,698,AREA NOT INCLUDED, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,0
222,1,223,0,2721.46831,450465.1845,223,489,AE, ,T,11,NAVD88,-9999,FEET,-9999, , ,-9999,-9999,STUDY1,0
223,1,224,0,2721.468967,450465.3712,224,726,X, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,3
224,5,225,0,2721.46831,450465.1845,225,504,0.2 PCT ANNUAL CHANCE FLOOD HAZARD, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,1
225,1,226,0,1115.63446,64267.1256,226,291,X, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,3
226,1,227,0,2721.46831,450465.1845,227,698,AREA NOT INCLUDED, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,0
227,1,228,0,2858.39787,364746.0116,228,698,AREA NOT INCLUDED, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,0
228,3,229,0,2721.46831,450465.1845,229,362,0.2 PCT ANNUAL CHANCE FLOOD HAZARD, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,1
229,1,230,0,2683.584029,448327.9892,230,698,AREA NOT INCLUDED, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,0
230,3,231,0,2648.20092,441372.1776,231,291,X, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,3
231,1,232,0,2721.46831,450465.1845,232,726,X, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,3
232,2,233,0,2721.46831,450465.1845,233,344,X, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,3
233,1,234,0,1282.152912,58917.78323,234,698,AREA NOT INCLUDED, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,0
234,3,235,0,2721.46831,450465.1845,235,423,0.2 PCT ANNUAL CHANCE FLOOD HAZARD, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,1
235,2,236,0,2980.424334,382667.8813,236,488,X, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,3
236,6,237,0,2721.46831,450465.1845,237,367,X, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,3
237,3,238,0,2721.468967,450465.3712,238,312,AE, ,T,12,NAVD88,-9999,FEET,-9999, , ,-9999,-9999,STUDY1,0
238,4,239,0,2483.96267,341731.8897,239,365,VE, ,T,16,NAVD88,-9999,FEET,-9999, , ,-9999,-9999,STUDY1,5
239,1,240,0,2721.46831,450465.1845,240,726,X, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,3
240,1,241,0,2721.46831,450465.1845,241,726,X, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,3
241,2,242,0,2721.46831,450465.1845,242,698,AREA NOT INCLUDED, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,0
242,3,243,0,2721.468967,450465.3712,243,479,0.2 PCT ANNUAL CHANCE FLOOD HAZARD, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,1
243,2,244,0,2167.274764,280031.0471,244,489,AE, ,T,11,NAVD88,-9999,FEET,-9999, , ,-9999,-9999,STUDY1,0
244,1,245,0,2101.074616,239870.5858,245,698,AREA NOT INCLUDED, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,0
245,2,246,0,2721.468967,450465.3712,246,411,0.2 PCT ANNUAL CHANCE FLOOD HAZARD, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,1
246,6,247,0,2721.46831,450465.1845,247,367,X, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,3
247,1,248,0,2721.468967,450465.3712,248,726,X, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,3
248,1,249,0,2721.46831,450465.1845,249,726,X, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,3
249,1,250,0,2721.46831,450465.1845,250,726,X, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,3
250,3,251,0,2721.46831,450465.1845,251,690,AE, ,T,10,NAVD88,-9999,FEET,-9999, , ,-9999,-9999,STUDY1,0
251,1,252,0,2168.959479,235966.3655,252,690,AE, ,T,10,NAVD88,-9999,FEET,-9999, , ,-9999,-9999,STUDY1,0
252,2,253,0,2721.46831,450465.1845,253,447,AE, ,T,12,NAVD88,-9999,FEET,-9999, , ,-9999,-9999,STUDY1,0
253,2,254,0,1842.98686,121298.7092,254,414,VE, ,T,13,NAVD88,-9999,FEET,-9999, , ,-9999,-9999,STUDY1,5
254,1,255,0,2721.468967,450465.3712,255,726,X, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,3
255,1,256,0,2721.46831,450465.1845,256,726,X, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,3
256,6,257,0,2721.46831,450465.1845,257,385,AE, ,T,10,NAVD88,-9999,FEET,-9999, , ,-9999,-9999,STUDY1,0
257,1,258,0,2721.46831,450465.1845,258,726,X, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,3
258,3,259,0,2721.46831,450465.1845,259,434,X, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,3
259,1,260,0,2721.46831,450465.1845,260,698,AREA NOT INCLUDED, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,0
260,1,261,0,2721.46831,450465.1845,261,726,X, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,3
261,2,262,0,2721.468967,450465.3712,262,489,AE, ,T,11,NAVD88,-9999,FEET,-9999, , ,-9999,-9999,STUDY1,0
262,1,263,0,2721.46831,450465.1845,263,698,AREA NOT INCLUDED, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,0
263,3,264,0,2721.468967,450465.3712,264,421,X, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,3
264,2,265,0,1380.313412,65623.74442,265,468,X, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,3
265,1,266,0,2721.468967,450465.3712,266,698,AREA NOT INCLUDED, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,0
266,1,267,0,2721.468967,450465.3712,267,726,X, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,3
267,3,268,0,2721.46831,450465.1845,268,554,0.2 PCT ANNUAL CHANCE FLOOD HAZARD, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,1
268,5,269,0,2544.730573,395798.941,269,376,VE, ,T,13,NAVD88,-9999,FEET,-9999, , ,-9999,-9999,STUDY1,5
