grid_id,imp_percent,imp_score,flood_score,green_score,greenview_index,storwater_managed,treecountestimate,overall_score
534,40.79089044,4,0,0,19.85548177,115200,144,1.333333333
535,88.99265868,0,3,,,0,0,1
536,62.86472381,3,1,,,0,0,1.333333333
537,64.00609066,3,3,,,0,0,2
538,93.66385306,0,3,2,9.677044271,89600,112,1.666666667
539,84.0030474,0,3,,,0,0,1
540,31.70926247,4,3,0,7.285972222,19200,24,2.333333333
541,79.94939894,2,1,,,0,0,1
542,97.41860403,0,1,2,11.35247768,156800,196,1
543,95.06102248,0,3,,,0,0,1
544,90.13785759,0,3,0,17.9085119,156800,196,1
545,95.12894163,0,3,5,23.08015625,57600,72,2.666666667
546,88.5449771,0,3,3,16.14677083,11200,14,2
547,32.17544264,4,1,5,31.56904356,475200,594,3.333333333
548,0.748653309,5,0,,,0,0,1.666666667
549,44.13263504,4,1,,,0,0,1.666666667
550,87.52019346,0,3,,,0,0,1
551,88.47756293,0,3,0,8.16952381,156800,196,1
552,83.12063139,0,3,5,28.80161458,257600,322,2.666666667
553,89.88935337,0,1,0,16.46928125,112000,140,0.333333333
554,61.74804637,3,3,,,0,0,2
555,91.06547003,0,3,2,9.963229167,134400,168,1.666666667
556,96.09993653,0,3,2,8.770094697,123200,154,1.666666667
557,98.76173432,0,1,,,0,0,0.333333333
558,93.21152552,0,3,,,0,0,1
559,,0,0,,,0,0,0
560,40.87012102,4,0,,,0,0,1.333333333
561,91.77002918,0,3,3,15.02657853,145600,182,2
562,73.41152392,2,3,,,0,0,1.666666667
563,84.19929838,0,1,,,0,0,0.333333333
564,81.43782696,0,0,,,0,0,0
565,,0,5,,,0,0,1.666666667
566,94.89134514,0,3,0,18.0067661,316800,396,1
567,24.04158421,5,0,0,17.89033854,89600,112,1.666666667
568,,0,0,,,0,0,0
569,45.55432995,4,3,,,0,0,2.333333333
570,6.486300191,5,1,,,0,0,2
571,53.79469074,3,3,,,0,0,2
572,93.44472288,0,0,3,12.42820313,44800,56,1
573,90.62954707,0,3,2,11.25199561,212800,266,1.666666667
574,50.46711196,3,1,,,0,0,1.333333333
575,90.93593304,0,3,,,0,0,1
576,96.5204406,0,0,,,0,0,0
577,,0,4,,,0,0,1.333333333
578,100,0,0,,,0,0,0
579,90.70950104,0,3,0,5.167447917,76800,96,1
580,85.30951629,0,0,2,8.8205,112000,140,0.666666667
581,95.62001328,0,3,0,5.684743056,96000,120,1
582,58.61622854,3,0,,,0,0,1
583,89.0799844,0,3,3,15.621375,56000,70,2
584,93.19523339,0,3,2,11.38927083,78400,98,1.666666667
585,100,0,3,,,0,0,1
586,95.58482747,0,3,,,0,0,1
587,56.86043429,3,0,5,21.43876603,187200,234,2.666666667
588,88.02118504,0,3,5,23.56131667,360000,450,2.666666667
589,68.04638189,2,3,0,16.90828125,67200,84,1.666666667
590,93.02404677,0,3,,,0,0,1
591,68.56003181,2,0,0,16.24413194,67200,84,0.666666667
592,71.50733045,2,1,,,0,0,1
593,,0,4,,,0,0,1.333333333
594,91.77908655,0,3,3,13.06431944,168000,210,2
595,28.13485742,5,5,,,0,0,3.333333333
596,91.0898373,0,3,2,10.52728299,134400,168,1.666666667
597,92.63363929,0,1,,,0,0,0.333333333
598,92.93389491,0,1,,,0,0,0.333333333
599,87.63814306,0,1,,,0,0,0.333333333
600,,0,5,,,0,0,1.666666667
601,94.07008301,0,3,,,0,0,1
602,87.0172384,0,1,,,0,0,0.333333333
603,,0,4,,,0,0,1.333333333
604,,0,0,,,0,0,0
605,99.11537479,0,0,,,0,0,0
606,2.630672076,5,4,,,0,0,3
607,90.4576734,0,3,,,0,0,1
608,89.14914651,0,1,,,0,0,0.333333333
609,93.06823692,0,0,,,0,0,0
610,,0,5,,,0,0,1.666666667
611,80.35758156,0,3,,,0,0,1
612,86.12079774,0,3,0,5.692643229,102400,128,1
613,64.28298262,3,3,5,22.15171875,28800,36,3.666666667
614,92.73511271,0,3,0,16.92878472,100800,126,1
615,84.29291604,0,3,3,15.94098958,134400,168,2
616,91.39003383,0,3,,,0,0,1
617,74.56397084,2,0,5,27.47423611,55200,69,2.333333333
618,84.32587973,0,3,,,0,0,1
619,43.58220268,4,0,,,0,0,1.333333333
620,90.46658874,0,3,2,10.80121528,33600,42,1.666666667
621,96.94534093,0,1,2,11.92130556,168000,210,1
622,76.10869952,2,3,0,19.49501302,115200,144,1.666666667
623,97.61656648,0,3,,,0,0,1
624,0.640621408,5,3,,,0,0,2.666666667
625,98.81621087,0,0,0,16.7296875,11200,14,0
626,68.83700457,2,0,,,0,0,0.666666667
627,95.69842166,0,3,,,0,0,1
628,72.67337251,2,1,,,0,0,1
629,93.40011136,0,1,,,0,0,0.333333333
630,87.90531253,0,3,0,7.683528646,51200,64,1
631,82.48378367,0,3,0,7.129322917,38400,48,1
632,91.47225921,0,3,2,9.315856481,100800,126,1.666666667
633,89.02652103,0,0,0,20.48246528,129600,162,0
634,87.36016928,0,1,,,0,0,0.333333333
635,65.18578288,2,3,,,0,0,1.666666667
636,40.63622182,4,0,,,0,0,1.333333333
637,44.99295503,4,0,,,0,0,1.333333333
638,89.72241732,0,0,,,0,0,0
639,91.33507534,0,3,,,0,0,1
640,71.03598687,2,1,,,0,0,1
641,81.86352153,0,3,,,0,0,1
642,59.93027258,3,0,0,5.80921875,51200,64,1
643,76.53432172,2,0,,,0,0,0.666666667
644,42.15305738,4,0,,,0,0,1.333333333
645,75.16197848,2,0,,,0,0,0.666666667
646,87.10773614,0,3,2,9.073731061,123200,154,1.666666667
647,88.11337544,0,0,,,0,0,0
648,90.80298707,0,3,,,0,0,1
649,86.5751219,0,3,3,13.79453125,112000,140,2
650,,0,4,,,0,0,1.333333333
651,83.59658012,0,1,,,0,0,0.333333333
652,18.97903961,5,1,,,0,0,2
653,65.65759217,2,3,,,0,0,1.666666667
654,87.42849058,0,3,2,11.08682292,44800,56,1.666666667
655,17.89141071,5,1,5,30.42644676,388800,486,3.666666667
656,63.9156499,3,3,,,0,0,2
657,94.40510633,0,3,,,0,0,1
658,93.97965668,0,3,2,10.22565104,44800,56,1.666666667
659,95.3429071,0,3,,,0,0,1
660,,0,4,,,0,0,1.333333333
661,,0,4,,,0,0,1.333333333
662,64.99112566,3,3,,,0,0,2
663,92.42828974,0,3,2,11.07075,56000,70,1.666666667
664,94.63962683,0,3,0,7.555442708,25600,32,1
665,,0,4,,,0,0,1.333333333
666,87.39657283,0,0,0,5.850520833,19200,24,0
667,90.36566945,0,3,0,18.336875,28800,36,1
668,85.79239122,0,3,,,0,0,1
669,86.31806811,0,1,2,9.6065625,22400,28,1
670,72.21819288,2,3,,,0,0,1.666666667
671,82.48205879,0,3,,,0,0,1
672,,0,0,,,0,0,0
673,96.03613158,0,3,,,0,0,1
674,59.13386608,3,0,,,0,0,1
675,88.60684429,0,1,2,10.11875,11200,14,1
676,92.27938796,0,3,,,0,0,1
677,91.93584931,0,3,2,9.229739583,22400,28,1.666666667
678,5.057327341,5,1,,,0,0,2
679,93.48010054,0,3,2,11.59454861,67200,84,1.666666667
680,95.69868768,0,3,0,5.9590625,19200,24,1
681,90.25681081,0,3,,,0,0,1
682,60.74600434,3,0,,,0,0,1
683,86.12838384,0,3,0,8.608177083,112000,140,1
684,62.02541015,3,3,0,20.98705729,57600,72,2
685,91.90059018,0,3,3,14.58201389,33600,42,2
686,80.32063373,0,0,5,21.87736111,43200,54,1.666666667
687,90.75469899,0,3,,,0,0,1
688,91.56188611,0,3,,,0,0,1
689,92.7609489,0,3,0,18.95392708,144000,180,1
690,84.82722681,0,0,,,0,0,0
691,92.11738452,0,0,0,20.30327083,360000,450,0
692,14.27490848,5,3,,,0,0,2.666666667
693,87.65600223,0,3,2,9.456770833,44800,56,1.666666667
694,87.73898089,0,3,0,16.92578704,100800,126,1
695,94.03317774,0,3,3,12.57619444,168000,210,2
696,59.24670359,3,3,5,24.59227564,239200,299,3.666666667
697,,0,4,,,0,0,1.333333333
698,78.6448656,2,0,3,14.04331495,190400,238,1.666666667
699,87.13921947,0,3,3,14.71630435,257600,322,2
700,94.96702309,0,3,,,0,0,1
701,68.60584659,2,3,,,0,0,1.666666667
702,99.8720376,0,0,,,0,0,0
703,76.87775187,2,0,,,0,0,0.666666667
704,81.79524171,0,3,0,17.01136285,134400,168,1
705,26.78808952,5,1,5,23.45428571,100800,126,3.666666667
706,93.12583985,0,0,,,0,0,0
707,61.71926756,3,0,3,14.27911458,44800,56,2
708,62.50681095,3,0,0,4.8215625,6400,8,1
709,54.57065269,3,3,5,25.20961174,202400,253,3.666666667
710,88.64041815,0,3,,,0,0,1
711,73.38268788,2,0,,,0,0,0.666666667
712,90.86885957,0,1,3,12.51291667,11200,14,1.333333333
713,96.79981987,0,3,2,11.04845703,179200,224,1.666666667
714,89.87976772,0,3,,,0,0,1
715,80.43605577,0,3,,,0,0,1
716,91.98001727,0,3,,,0,0,1
717,57.99204926,3,0,2,9.281970486,134400,168,1.666666667
718,14.24744856,5,0,,,0,0,1.666666667
719,98.65327034,0,1,,,0,0,0.333333333
720,77.5642298,2,3,0,20.25016098,158400,198,1.666666667
721,39.79247432,4,0,,,0,0,1.333333333
722,92.71433678,0,3,2,12.14317057,179200,224,1.666666667
723,82.54880902,0,3,,,0,0,1
724,71.15719943,2,1,,,0,0,1
725,82.8373608,0,0,,,0,0,0
726,87.6920888,0,3,2,11.0396875,67200,84,1.666666667
727,22.73434773,5,3,,,0,0,2.666666667
728,92.2262383,0,3,,,0,0,1
729,60.45575043,3,3,5,27.42882246,423200,529,3.666666667
730,92.13084919,0,3,0,7.301895833,32000,40,1
731,90.2090826,0,3,,,0,0,1
732,83.88358916,0,3,,,0,0,1
733,92.79135438,0,3,0,7.556302083,76800,96,1
734,,0,0,,,0,0,0
735,10.29386504,5,0,5,32.14917708,216000,270,3.333333333
736,83.38192341,0,3,,,0,0,1
737,85.10824231,0,1,,,0,0,0.333333333
738,19.48385145,5,0,,,0,0,1.666666667
739,92.11294076,0,3,5,35.57190972,64800,81,2.666666667
740,95.15009316,0,3,0,6.648663194,115200,144,1
741,84.56414992,0,1,2,10.79222917,56000,70,1
742,,0,4,,,0,0,1.333333333
743,97.62483337,0,3,0,5.760958333,32000,40,1
744,99.33724043,0,3,,,0,0,1
745,92.19694585,0,3,,,0,0,1
746,69.42567711,2,1,0,17.31510417,22400,28,1
747,77.02594896,2,0,,,0,0,0.666666667
748,19.1097293,5,0,5,24.92972222,55200,69,3.333333333
